scope,espn_id,name,pos,status,wins,losses,skips,appearances,win_pct,dynasty_value,on_field_value,fair_value_2026,fair_value_dynasty
overall,4360635,Chig Okonkwo,TE,fa,0,4,0,4,0.0,52.7,39.7,71.0,71.0
overall,15835,Zach Ertz,TE,fa,0,3,0,3,0.0,41.7,45.9,24.0,24.0
overall,4383440,Nate Adkins,TE,fa,0,4,0,4,0.0,28.4,11.8,0.0,0.0
overall,3043275,Austin Hooper,TE,fa,0,5,0,5,0.0,39.3,30.1,19.0,19.0
overall,4048228,John Bates,TE,fa,0,3,0,3,0.0,32.1,13.3,2.0,2.0
overall,4241263,Charlie Kolar,TE,fa,0,5,0,5,0.0,35.6,18.1,10.0,10.0
overall,4608362,Shane Zylstra,TE,fa,0,6,0,6,0.0,15.1,4.8,0.0,0.0
overall,15847,Travis Kelce,TE,fa,0,4,0,4,0.0,62.0,78.6,91.0,91.0
overall,2576925,Darren Waller,TE,fa,0,2,0,2,0.0,41.1,55.3,23.0,23.0
overall,4686728,Gunnar Helm,TE,fa,0,3,0,3,0.0,51.1,31.2,67.0,67.0
overall,4373030,Ben Sims,TE,fa,0,1,0,1,0.0,27.6,8.3,0.0,0.0
overall,4243331,Cade Otton,TE,fa,0,2,0,2,0.0,50.9,41.3,62.0,62.0
overall,3054212,Jonnu Smith,TE,fa,0,2,0,2,0.0,45.8,41.4,39.0,39.0
overall,4361050,Isaiah Likely,TE,active,0,1,0,1,0.0,44.4,32.7,37.0,143.0
overall,4678006,Elijah Arroyo,TE,rookie,0,6,0,6,0.0,37.3,13.7,16.0,16.0
overall,4242558,Tucker Fisk,TE,fa,0,5,0,5,0.0,25.3,5.5,0.0,0.0
overall,3921690,Josh Oliver,TE,fa,0,3,0,3,0.0,36.4,24.1,11.0,11.0
overall,4426844,Elijah Higgins,TE,fa,0,8,0,8,0.0,41.1,17.1,27.0,27.0
overall,4360086,Josh Whyle,TE,fa,0,3,0,3,0.0,28.9,10.5,0.0,0.0
overall,4258595,Cole Kmet,TE,fa,0,5,0,5,0.0,48.3,36.7,52.0,52.0
overall,4361372,Jeremy Ruckert,TE,fa,0,2,0,2,0.0,40.0,19.6,24.0,24.0
overall,4696700,Tip Reiman,TE,fa,0,2,0,2,0.0,23.0,6.9,0.0,0.0
overall,4045305,Ian Thomas,TE,fa,0,2,0,2,0.0,26.9,14.6,0.0,0.0
overall,4035020,Charlie Woerner,TE,fa,0,4,0,4,0.0,27.1,5.8,0.0,0.0
overall,3116365,Mark Andrews,TE,active,0,3,0,3,0.0,52.2,56.3,59.0,59.0
overall,4572680,Tucker Kraft,TE,active,0,5,0,5,0.0,67.4,81.1,132.0,132.0
overall,3911853,Adam Trautman,TE,fa,0,3,0,3,0.0,36.2,20.1,11.0,11.0
